Date,Load
04/03/2019,16666
05/03/2019,16973
06/03/2019,17633
07/03/2019,17457
08/03/2019,16469
09/03/2019,14702
10/03/2019,15524
11/03/2019,15290
12/03/2019,15559
13/03/2019,15451
14/03/2019,14780
15/03/2019,14020
16/03/2019,13603
17/03/2019,14461
18/03/2019,15405
19/03/2019,15272
20/03/2019,15223
21/03/2019,14900
22/03/2019,14951
23/03/2019,13827
24/03/2019,13742
25/03/2019,14711
26/03/2019,14935
27/03/2019,14955
28/03/2019,14611
29/03/2019,14075
30/03/2019,12604
31/03/2019,13542
01/04/2019,14616
02/04/2019,14540
03/04/2019,14129
04/04/2019,14279
05/04/2019,14227
06/04/2019,12538
07/04/2019,12906
08/04/2019,14610
09/04/2019,14787
10/04/2019,14353
11/04/2019,13974
12/04/2019,14113
13/04/2019,12312
14/04/2019,12597
15/04/2019,13499
16/04/2019,13456
17/04/2019,13196
18/04/2019,13927
19/04/2019,12995
20/04/2019,12929
21/04/2019,12192
22/04/2019,13813
23/04/2019,13627
24/04/2019,13364
25/04/2019,13251
26/04/2019,13581
27/04/2019,12644
28/04/2019,13049
29/04/2019,13548
30/04/2019,13743
01/05/2019,13754
02/05/2019,13783
03/05/2019,13328
04/05/2019,12165
05/05/2019,12774
06/05/2019,13303
07/05/2019,13589
08/05/2019,13290
09/05/2019,13219
10/05/2019,13559
11/05/2019,11993
12/05/2019,12808
13/05/2019,14180
14/05/2019,14072
15/05/2019,13422
16/05/2019,13201
17/05/2019,13297
18/05/2019,12024
19/05/2019,13095
20/05/2019,15485
21/05/2019,13358
22/05/2019,13378
23/05/2019,13492
24/05/2019,13104
25/05/2019,12110
26/05/2019,13651
27/05/2019,13777
28/05/2019,13950
29/05/2019,13554
30/05/2019,13453
31/05/2019,13746
01/06/2019,12656
02/06/2019,13442
03/06/2019,13491
04/06/2019,13396
05/06/2019,15136
06/06/2019,15767
07/06/2019,15147
08/06/2019,13999
09/06/2019,13974
10/06/2019,15505
11/06/2019,15126
12/06/2019,14839
13/06/2019,13733
14/06/2019,13411
15/06/2019,13428
16/06/2019,13597
17/06/2019,15685
18/06/2019,15117
19/06/2019,15594
20/06/2019,15419
21/06/2019,14667
22/06/2019,13534
23/06/2019,15377
24/06/2019,17270
25/06/2019,16010
26/06/2019,18311
27/06/2019,18672
28/06/2019,19604
29/06/2019,17467
30/06/2019,15024
01/07/2019,18266
02/07/2019,18914
03/07/2019,20458
04/07/2019,18835
05/07/2019,20553
06/07/2019,20734
07/07/2019,17119
08/07/2019,18203
09/07/2019,20003
10/07/2019,20850
11/07/2019,19865
12/07/2019,20294
13/07/2019,19178
14/07/2019,19954
15/07/2019,20028
16/07/2019,20931
17/07/2019,22628
18/07/2019,17301
19/07/2019,22496
20/07/2019,23793
21/07/2019,23815
22/07/2019,20122
23/07/2019,15661
24/07/2019,18045
25/07/2019,18457
26/07/2019,19717
27/07/2019,18007
28/07/2019,20773
29/07/2019,23397
30/07/2019,23988
31/07/2019,22891
01/08/2019,20628
02/08/2019,19248
03/08/2019,18452
04/08/2019,18461
05/08/2019,18604
06/08/2019,18178
07/08/2019,20029
08/08/2019,20720
09/08/2019,18847
10/08/2019,15062
11/08/2019,15133
12/08/2019,19010
13/08/2019,17968
14/08/2019,17737
15/08/2019,18276
16/08/2019,18335
17/08/2019,17303
18/08/2019,20006
19/08/2019,23025
20/08/2019,21087
21/08/2019,19890
22/08/2019,22025
23/08/2019,16475
24/08/2019,13922
25/08/2019,13505
26/08/2019,14975
27/08/2019,15042
28/08/2019,16138
29/08/2019,17965
30/08/2019,17923
31/08/2019,14624
01/09/2019,13443
02/09/2019,15109
03/09/2019,16899
04/09/2019,18106
05/09/2019,14784
06/09/2019,13662
07/09/2019,13059
08/09/2019,13923
09/09/2019,14908
10/09/2019,15208
11/09/2019,18416
12/09/2019,14986
13/09/2019,13401
14/09/2019,13401
15/09/2019,14757
16/09/2019,14842
17/09/2019,14383
18/09/2019,13906
19/09/2019,13967
20/09/2019,14086
21/09/2019,14382
22/09/2019,15852
23/09/2019,18839
24/09/2019,15591
25/09/2019,14791
26/09/2019,15198
27/09/2019,13913
28/09/2019,14032
29/09/2019,13749
30/09/2019,14164
01/10/2019,14949
02/10/2019,15891
03/10/2019,14029
04/10/2019,13390
05/10/2019,12617
06/10/2019,13585
07/10/2019,15162
08/10/2019,14106
09/10/2019,14383
10/10/2019,14217
11/10/2019,13784
12/10/2019,12784
13/10/2019,12824
14/10/2019,14268
15/10/2019,14121
16/10/2019,14583
17/10/2019,14111
18/10/2019,13662
19/10/2019,12747
20/10/2019,13606
21/10/2019,14232
22/10/2019,14546
23/10/2019,14063
24/10/2019,14071
25/10/2019,13622
26/10/2019,12718
27/10/2019,13904
28/10/2019,14494
29/10/2019,14528
30/10/2019,14475
31/10/2019,14393
01/11/2019,13540
02/11/2019,13213
03/11/2019,14136
04/11/2019,15041
05/11/2019,14991
06/11/2019,14950
07/11/2019,15131
08/11/2019,16044
09/11/2019,14858
10/11/2019,14454
11/11/2019,15424
12/11/2019,16644
13/11/2019,17278
14/11/2019,16619
15/11/2019,15259
16/11/2019,15503
17/11/2019,15920
18/11/2019,16406
19/11/2019,15884
20/11/2019,16209
21/11/2019,15581
22/11/2019,15425
23/11/2019,14727
24/11/2019,15496
25/11/2019,15553
26/11/2019,15125
27/11/2019,15267
28/11/2019,14326
29/11/2019,15351
30/11/2019,15628
01/12/2019,16970
02/12/2019,17502
03/12/2019,17528
04/12/2019,16886
05/12/2019,16757
06/12/2019,16682
07/12/2019,16265
08/12/2019,16774
09/12/2019,16472
10/12/2019,15777
11/12/2019,17324
12/12/2019,17511
13/12/2019,16685
14/12/2019,14841
15/12/2019,15935
16/12/2019,17739
17/12/2019,18081
18/12/2019,17499
19/12/2019,18759
20/12/2019,17962
21/12/2019,16686
22/12/2019,16149
23/12/2019,15965
24/12/2019,15257
25/12/2019,14124
26/12/2019,16570
27/12/2019,15678
28/12/2019,14818
29/12/2019,15372
30/12/2019,17040
31/12/2019,16036
