Date,Hour,Load
15-01-2018,4,1517.010
15-01-2018,5,1646.720
15-01-2018,6,2191.160
15-01-2018,7,2906.110
15-01-2018,8,3190.560
15-01-2018,9,3743.460
15-01-2018,10,3969.750
15-01-2018,11,3858.320
15-01-2018,12,3560.670
15-01-2018,13,3377.660
15-01-2018,14,3007.290
15-01-2018,15,2985.440
15-01-2018,16,2889.160
15-01-2018,17,2923.210
15-01-2018,18,3192.230
15-01-2018,19,3235.680
15-01-2018,20,3178.680
15-01-2018,21,2883.150
15-01-2018,22,2646.540
15-01-2018,23,2239.730
16-01-2018,0,1855.270
16-01-2018,1,1638.470
16-01-2018,2,1530.780
16-01-2018,3,1482.870
16-01-2018,4,1505.920
16-01-2018,5,1708.610
16-01-2018,6,2459.720
16-01-2018,7,3394.840
16-01-2018,8,3756.820
16-01-2018,9,3738.570
16-01-2018,10,3838.550
16-01-2018,11,3729.300
16-01-2018,12,3484.430
16-01-2018,13,3184.110
16-01-2018,14,2950.150
16-01-2018,15,2953.410
16-01-2018,16,2880.510
16-01-2018,17,2948.040
16-01-2018,18,3255.590
16-01-2018,19,3356.900
16-01-2018,20,3191.660
16-01-2018,21,2903.650
16-01-2018,22,2699.810
16-01-2018,23,2284.490
17-01-2018,0,1905.250
17-01-2018,1,1693.750
17-01-2018,2,1603.820
17-01-2018,3,1558.760
17-01-2018,4,1583.640
17-01-2018,5,1798.540
17-01-2018,6,2533.460
17-01-2018,7,3433.330
17-01-2018,8,3783.830
17-01-2018,9,3795.450
17-01-2018,10,4001.680
17-01-2018,11,3902.750
17-01-2018,12,3690.150
17-01-2018,13,3291.940
17-01-2018,14,3074.780
17-01-2018,15,3060.210
17-01-2018,16,2971.800
17-01-2018,17,3009.370
17-01-2018,18,3291.810
17-01-2018,19,3412.330
17-01-2018,20,3278.520
17-01-2018,21,2953.490
17-01-2018,22,2692.870
17-01-2018,23,2281.140
18-01-2018,0,1890.920
18-01-2018,1,1669.810
18-01-2018,2,1570.680
18-01-2018,3,1511.450
18-01-2018,4,1536.700
18-01-2018,5,1718.920
18-01-2018,6,2431.950
18-01-2018,7,3311.250
18-01-2018,8,3695.750
18-01-2018,9,3736.560
18-01-2018,10,3927.050
18-01-2018,11,3762.460
18-01-2018,12,3535.370
18-01-2018,13,3200.200
18-01-2018,14,3039.710
18-01-2018,15,3001.740
18-01-2018,16,2970.800
18-01-2018,17,3021.220
18-01-2018,18,3297.640
18-01-2018,19,3420.700
18-01-2018,20,3267.510
18-01-2018,21,2915.770
18-01-2018,22,2650.670
18-01-2018,23,2264.120
19-01-2018,0,2083.620
19-01-2018,1,2004.460
19-01-2018,2,1984.200
19-01-2018,3,1961.040
19-01-2018,4,1955.620
19-01-2018,5,2036.460
19-01-2018,6,2320.380
19-01-2018,7,2712.830
19-01-2018,8,2805.640
19-01-2018,9,2816.510
19-01-2018,10,3651.630
19-01-2018,11,3958.430
19-01-2018,12,3746.750
19-01-2018,13,3150.910
19-01-2018,14,3079.330
19-01-2018,15,3076.640
19-01-2018,16,3019.910
19-01-2018,17,3006.780
19-01-2018,18,3331.250
19-01-2018,19,3383.990
19-01-2018,20,3231.310
19-01-2018,21,2858.950
19-01-2018,22,2652.580
19-01-2018,23,2292.020
20-01-2018,0,1892.080
20-01-2018,1,1669.860
20-01-2018,2,1579.330
20-01-2018,3,1512.900
20-01-2018,4,1529.200
20-01-2018,5,1690.790
20-01-2018,6,2284.840
20-01-2018,7,3016.460
20-01-2018,8,3516.530
20-01-2018,9,3589.660
20-01-2018,10,3770.520
20-01-2018,11,3680.880
20-01-2018,12,3441.670
20-01-2018,13,3102.130
20-01-2018,14,2850.330
20-01-2018,15,2801.100
20-01-2018,16,2750.700
20-01-2018,17,2778.970
20-01-2018,18,3088.240
20-01-2018,19,3204.980
20-01-2018,20,3056.010
20-01-2018,21,2749.670
20-01-2018,22,2565.670
20-01-2018,23,2191.420
21-01-2018,0,1848.970
21-01-2018,1,1624.880
21-01-2018,2,1513.110
21-01-2018,3,1455.570
21-01-2018,4,1458.800
21-01-2018,5,1580.330
21-01-2018,6,1924.290
21-01-2018,7,2447.820
21-01-2018,8,3206.780
21-01-2018,9,3530.400
21-01-2018,10,3853.350
21-01-2018,11,3835.820
21-01-2018,12,3671.510
21-01-2018,13,3252.380
21-01-2018,14,2903.170
21-01-2018,15,2703.210
21-01-2018,16,2589.780
21-01-2018,17,2598.690
21-01-2018,18,2897.340
21-01-2018,19,3068.950
21-01-2018,20,2925.690
21-01-2018,21,2689.290
21-01-2018,22,2505.640
21-01-2018,23,2140.510
22-01-2018,0,1787.210
22-01-2018,1,1578.210
22-01-2018,2,1461.640
22-01-2018,3,1427.550
22-01-2018,4,1441.320
22-01-2018,5,1644.290
22-01-2018,6,2412.380
22-01-2018,7,3279.510
22-01-2018,8,3595.340
22-01-2018,9,3695.910
22-01-2018,10,3856.690
22-01-2018,11,3739.030
22-01-2018,12,3504.270
22-01-2018,13,3106.820
22-01-2018,14,2953.010
22-01-2018,15,2905.570
22-01-2018,16,2842.240
22-01-2018,17,2902.530
22-01-2018,18,3159.060
22-01-2018,19,3291.570
22-01-2018,20,3156.520
22-01-2018,21,2856.380
22-01-2018,22,2596.250
22-01-2018,23,2217.660
23-01-2018,0,1872.740
23-01-2018,1,1664.230
23-01-2018,2,1548.470
23-01-2018,3,1514.330
23-01-2018,4,1511.460
23-01-2018,5,1706.980
23-01-2018,6,2404.090
23-01-2018,7,3259.280
23-01-2018,8,3534.500
23-01-2018,9,3536.550
23-01-2018,10,3695.730
23-01-2018,11,3735.410
23-01-2018,12,3371.740
23-01-2018,13,3079.430
23-01-2018,14,2946.130
23-01-2018,15,2972.480
23-01-2018,16,2943.620
23-01-2018,17,2998.120
23-01-2018,18,3173.820
23-01-2018,19,3340.050
23-01-2018,20,3210.520
23-01-2018,21,2941.970
23-01-2018,22,2697.290
23-01-2018,23,2251.700
24-01-2018,0,1862.280
24-01-2018,1,1654.530
24-01-2018,2,1542.940
24-01-2018,3,1499.500
24-01-2018,4,1519.470
24-01-2018,5,1708.270
24-01-2018,6,2465.240
24-01-2018,7,3401.070
24-01-2018,8,3777.570
24-01-2018,9,3823.450
24-01-2018,10,4043.960
24-01-2018,11,4006.690
24-01-2018,12,3748.760
24-01-2018,13,3345.770
24-01-2018,14,3217.720
24-01-2018,15,3143.930
24-01-2018,16,3091.170
24-01-2018,17,3135.120
24-01-2018,18,3337.300
24-01-2018,19,3488.970
24-01-2018,20,3310.770
24-01-2018,21,3042.590
24-01-2018,22,2787.260
24-01-2018,23,2327.390
25-01-2018,0,1934.390
25-01-2018,1,1696.740
25-01-2018,2,1591.310
25-01-2018,3,1536.450
25-01-2018,4,1558.260
25-01-2018,5,1727.390
25-01-2018,6,2456.830
25-01-2018,7,3313.170
25-01-2018,8,3694.850
25-01-2018,9,3786.170
25-01-2018,10,3843.130
25-01-2018,11,3980.340
25-01-2018,12,3709.380
25-01-2018,13,3373.060
25-01-2018,14,3116.570
25-01-2018,15,3067.590
25-01-2018,16,3073.930
25-01-2018,17,3042.770
25-01-2018,18,3322.180
25-01-2018,19,3418.120
25-01-2018,20,3294.290
25-01-2018,21,2986.830
25-01-2018,22,2742.620
25-01-2018,23,2385.200
26-01-2018,0,1994.270
26-01-2018,1,1752.940
26-01-2018,2,1643.630
26-01-2018,3,1565.110
26-01-2018,4,1577.900
26-01-2018,5,1696.880
