Date,Avg,Peak
06-07-2019,5115.44,6005.74
07-07-2019,4960.97,6237.76
08-07-2019,5419.10,6351.58
09-07-2019,5255.45,6173.57
10-07-2019,5416.39,6607.70
11-07-2019,5692.11,6826.75
12-07-2019,5739.39,6764.03
13-07-2019,5528.08,6650.86
14-07-2019,5243.07,6490.03
15-07-2019,4900.85,5969.84
16-07-2019,4484.81,5006.66
17-07-2019,4263.70,4828.98
18-07-2019,4172.21,4675.22
19-07-2019,4570.82,5698.56
20-07-2019,4683.93,5508.63
21-07-2019,4422.05,5222.17
22-07-2019,4903.64,5825.69
23-07-2019,5380.42,6468.66
24-07-2019,5430.96,6602.67
25-07-2019,4784.63,5632.12
26-07-2019,4532.46,5100.37
27-07-2019,4215.65,4754.82
28-07-2019,4125.24,5057.64
29-07-2019,4663.41,5594.46
30-07-2019,4813.80,5626.99
31-07-2019,4910.56,5746.41
01-08-2019,5088.20,5952.50
02-08-2019,5044.37,5791.38
03-08-2019,4645.11,5445.81
04-08-2019,4528.73,5556.00
05-08-2019,5039.23,6018.06
06-08-2019,4618.06,5694.99
07-08-2019,4639.06,5528.13
08-08-2019,5038.20,6098.07
09-08-2019,4995.40,5872.90
10-08-2019,4675.75,5425.77
11-08-2019,4670.12,5781.23
12-08-2019,4845.52,5687.23
13-08-2019,4895.63,5693.50
14-08-2019,4751.89,5490.52
15-08-2019,4120.20,5331.48
16-08-2019,4480.77,5093.78
17-08-2019,4113.29,4917.15
18-08-2019,3699.17,4409.71
19-08-2019,4323.75,5176.00
20-08-2019,4650.14,5383.45
21-08-2019,4907.94,5803.79
22-08-2019,4824.00,5508.65
23-08-2019,4906.46,5783.30
24-08-2019,4563.49,5670.28
25-08-2019,4262.86,4844.98
26-08-2019,4668.10,5673.05
27-08-2019,5055.29,6057.97
28-08-2019,5359.17,6345.69
29-08-2019,5512.09,6417.33
30-08-2019,5514.36,6397.41
31-08-2019,5405.44,6255.95
01-09-2019,4695.94,6095.05
02-09-2019,4511.46,5439.93
03-09-2019,5368.71,6326.99
04-09-2019,5430.47,6260.27
05-09-2019,5393.27,6158.46
06-09-2019,5359.71,6173.97
07-09-2019,5083.87,5833.79
08-09-2019,4860.56,6027.15
09-09-2019,5335.40,6231.20
10-09-2019,5304.16,6355.04
11-09-2019,5621.97,6602.42
12-09-2019,5707.50,6535.02
13-09-2019,5534.51,6363.36
14-09-2019,5195.91,6156.90
15-09-2019,4829.69,5795.87
16-09-2019,5211.74,6154.80
17-09-2019,5198.53,6063.26
18-09-2019,5030.09,5828.12
19-09-2019,4745.99,5585.20
20-09-2019,4717.86,5386.70
21-09-2019,4519.36,5244.29
22-09-2019,3902.06,4626.12
23-09-2019,4100.31,4723.71
24-09-2019,4170.49,4780.65
25-09-2019,4259.48,4981.25
26-09-2019,4285.01,4819.90
27-09-2019,4188.83,4702.48
28-09-2019,3926.66,4321.32
29-09-2019,3555.83,3909.19
30-09-2019,3715.64,4286.33
01-10-2019,3857.73,4440.25
02-10-2019,3342.02,3829.45
03-10-2019,3846.20,4577.08
04-10-2019,3709.33,4318.98
05-10-2019,3412.81,3979.29
06-10-2019,3235.76,3689.89
07-10-2019,3458.79,4015.45
08-10-2019,3035.95,3365.45
09-10-2019,3444.17,4128.99
10-10-2019,3479.74,4180.11
11-10-2019,3534.82,4199.21
12-10-2019,3412.67,4018.59
13-10-2019,3314.21,3786.24
14-10-2019,3573.68,4215.56
15-10-2019,3615.75,4264.91
16-10-2019,3675.83,4265.80
17-10-2019,3664.07,4308.73
18-10-2019,3619.82,4333.82
19-10-2019,3351.32,3986.47
20-10-2019,3126.38,3633.47
21-10-2019,3263.78,3940.63
22-10-2019,3160.48,3857.47
