Date,Hour,Min,Load
07-01-2018,19,30,3217.170
07-01-2018,20,0,3144.290
07-01-2018,20,30,3025.770
07-01-2018,21,0,2896.150
07-01-2018,21,30,2888.730
07-01-2018,22,0,2711.680
07-01-2018,22,30,2570.930
07-01-2018,23,0,2473.760
07-01-2018,23,30,2115.960
08-01-2018,0,0,1986.530
08-01-2018,0,30,1775.650
08-01-2018,1,0,1704.620
08-01-2018,1,30,1642.410
08-01-2018,2,0,1453.970
08-01-2018,2,30,1505.720
08-01-2018,3,0,1476.610
08-01-2018,3,30,1465.340
08-01-2018,4,0,1483.950
08-01-2018,4,30,1531.070
08-01-2018,5,0,1630.010
08-01-2018,5,30,1854.340
08-01-2018,6,0,2206.290
08-01-2018,6,30,2622.810
08-01-2018,7,0,2994.240
08-01-2018,7,30,3385.180
08-01-2018,8,0,3667.090
08-01-2018,8,30,3801.900
08-01-2018,9,0,3896.770
08-01-2018,9,30,4140.390
08-01-2018,10,0,4181.120
08-01-2018,10,30,4141.440
08-01-2018,11,0,4037.630
08-01-2018,11,30,3912.980
08-01-2018,12,0,3797.190
08-01-2018,12,30,3675.600
08-01-2018,13,0,3421.600
08-01-2018,13,30,3181.290
08-01-2018,14,0,3206.290
08-01-2018,14,30,3164.930
08-01-2018,15,0,3111.280
08-01-2018,15,30,3052.200
08-01-2018,16,0,3060.520
08-01-2018,16,30,3066.930
08-01-2018,17,0,3102.140
08-01-2018,17,30,3225.450
08-01-2018,18,0,3450.030
08-01-2018,18,30,3485.660
08-01-2018,19,0,3489.930
08-01-2018,19,30,3421.600
08-01-2018,20,0,3401.160
08-01-2018,20,30,3298.430
08-01-2018,21,0,3088.570
08-01-2018,21,30,2972.350
08-01-2018,22,0,2842.710
08-01-2018,22,30,2612.940
08-01-2018,23,0,2403.450
08-01-2018,23,30,2194.270
09-01-2018,0,0,1978.580
09-01-2018,0,30,1837.500
09-01-2018,1,0,1731.630
09-01-2018,1,30,1648.230
09-01-2018,2,0,1599.420
09-01-2018,2,30,1562.890
09-01-2018,3,0,1537.290
09-01-2018,3,30,1539.000
09-01-2018,4,0,1559.990
09-01-2018,4,30,1609.480
09-01-2018,5,0,1712.070
09-01-2018,5,30,1941.020
09-01-2018,6,0,2265.550
09-01-2018,6,30,2673.140
09-01-2018,7,0,3058.400
09-01-2018,7,30,3489.020
09-01-2018,8,0,3779.750
09-01-2018,8,30,3952.830
09-01-2018,9,0,3888.810
09-01-2018,9,30,4066.330
09-01-2018,10,0,4124.400
09-01-2018,10,30,4158.640
09-01-2018,11,0,4063.590
09-01-2018,11,30,3940.130
09-01-2018,12,0,3847.150
09-01-2018,12,30,3661.100
09-01-2018,13,0,3399.930
09-01-2018,13,30,3129.380
09-01-2018,14,0,3167.480
09-01-2018,14,30,3143.930
09-01-2018,15,0,3097.560
09-01-2018,15,30,3089.240
09-01-2018,16,0,3068.710
09-01-2018,16,30,3048.910
09-01-2018,17,0,3092.390
09-01-2018,17,30,3226.600
09-01-2018,18,0,3377.600
09-01-2018,18,30,3583.280
09-01-2018,19,0,3517.320
09-01-2018,19,30,3393.250
09-01-2018,20,0,3332.110
09-01-2018,20,30,3223.730
09-01-2018,21,0,3059.540
09-01-2018,21,30,2927.520
09-01-2018,22,0,2825.280
09-01-2018,22,30,2628.170
09-01-2018,23,0,2396.320
09-01-2018,23,30,2181.640
10-01-2018,0,0,1961.070
10-01-2018,0,30,1826.060
10-01-2018,1,0,1721.040
10-01-2018,1,30,1646.810
10-01-2018,2,0,1608.610
10-01-2018,2,30,1569.390
10-01-2018,3,0,1544.520
10-01-2018,3,30,1533.580
10-01-2018,4,0,1546.400
10-01-2018,4,30,1608.670
10-01-2018,5,0,1719.260
10-01-2018,5,30,1940.590
10-01-2018,6,0,2272.420
10-01-2018,6,30,2757.340
10-01-2018,7,0,3175.320
10-01-2018,7,30,3525.930
10-01-2018,8,0,3816.410
10-01-2018,8,30,3953.990
10-01-2018,9,0,3958.620
10-01-2018,9,30,4123.170
10-01-2018,10,0,4214.110
10-01-2018,10,30,4156.980
10-01-2018,11,0,4099.030
10-01-2018,11,30,3957.170
10-01-2018,12,0,3871.600
10-01-2018,12,30,3689.610
10-01-2018,13,0,3448.680
10-01-2018,13,30,3148.290
10-01-2018,14,0,3214.620
10-01-2018,14,30,3172.430
10-01-2018,15,0,3134.250
10-01-2018,15,30,3052.030
10-01-2018,16,0,3045.610
10-01-2018,16,30,3081.650
10-01-2018,17,0,3122.450
10-01-2018,17,30,3264.900
10-01-2018,18,0,3431.220
10-01-2018,18,30,3557.010
10-01-2018,19,0,3468.490
10-01-2018,19,30,3453.980
10-01-2018,20,0,3325.360
10-01-2018,20,30,3228.620
10-01-2018,21,0,3043.450
10-01-2018,21,30,2953.800
10-01-2018,22,0,2809.120
10-01-2018,22,30,2606.280
10-01-2018,23,0,2368.590
10-01-2018,23,30,2193.820
11-01-2018,0,0,1976.430
11-01-2018,0,30,1822.960
11-01-2018,1,0,1728.270
11-01-2018,1,30,1651.400
11-01-2018,2,0,1603.940
11-01-2018,2,30,1563.100
11-01-2018,3,0,1539.640
11-01-2018,3,30,1534.360
11-01-2018,4,0,1541.570
11-01-2018,4,30,1603.930
11-01-2018,5,0,1705.420
11-01-2018,5,30,1943.000
11-01-2018,6,0,2297.400
11-01-2018,6,30,2793.600
11-01-2018,7,0,3158.180
11-01-2018,7,30,3499.070
11-01-2018,8,0,3717.510
11-01-2018,8,30,3838.880
11-01-2018,9,0,3862.870
11-01-2018,9,30,4021.510
11-01-2018,10,0,4116.970
11-01-2018,10,30,4062.270
11-01-2018,11,0,3937.210
11-01-2018,11,30,3848.550
11-01-2018,12,0,3755.930
11-01-2018,12,30,3584.870
11-01-2018,13,0,3361.150
11-01-2018,13,30,3052.300
11-01-2018,14,0,3115.200
11-01-2018,14,30,3099.800
11-01-2018,15,0,3116.250
11-01-2018,15,30,3061.740
11-01-2018,16,0,3055.170
11-01-2018,16,30,3049.300
11-01-2018,17,0,3074.760
11-01-2018,17,30,3203.670
11-01-2018,18,0,3429.590
11-01-2018,18,30,3529.180
11-01-2018,19,0,3501.410
11-01-2018,19,30,3483.390
11-01-2018,20,0,3307.900
11-01-2018,20,30,3209.780
11-01-2018,21,0,3046.080
11-01-2018,21,30,2886.890
11-01-2018,22,0,2768.560
11-01-2018,22,30,2567.470
11-01-2018,23,0,2389.200
11-01-2018,23,30,2157.330
12-01-2018,0,0,1970.830
12-01-2018,0,30,1836.690
12-01-2018,1,0,1731.850
12-01-2018,1,30,1661.620
12-01-2018,2,0,1603.930
12-01-2018,2,30,1567.530
12-01-2018,3,0,1541.000
12-01-2018,3,30,1531.760
12-01-2018,4,0,1557.570
12-01-2018,4,30,1613.380
12-01-2018,5,0,1737.390
12-01-2018,5,30,1981.620
12-01-2018,6,0,2344.450
12-01-2018,6,30,2819.070
12-01-2018,7,0,3220.600
12-01-2018,7,30,3555.280
12-01-2018,8,0,3880.350
12-01-2018,8,30,3945.630
12-01-2018,9,0,3945.410
12-01-2018,9,30,4138.990
12-01-2018,10,0,4201.770
12-01-2018,10,30,4223.870
12-01-2018,11,0,4116.280
12-01-2018,11,30,4036.750
12-01-2018,12,0,3893.200
12-01-2018,12,30,3766.380
12-01-2018,13,0,3515.540
12-01-2018,13,30,3175.290
12-01-2018,14,0,3188.990
12-01-2018,14,30,3167.680
12-01-2018,15,0,3096.920
12-01-2018,15,30,3103.890
12-01-2018,16,0,3046.530
12-01-2018,16,30,3098.400
12-01-2018,17,0,3135.170
12-01-2018,17,30,3209.610
12-01-2018,18,0,3411.910
12-01-2018,18,30,3484.810
12-01-2018,19,0,3467.250
12-01-2018,19,30,3403.050
12-01-2018,20,0,3307.130
12-01-2018,20,30,3157.160
12-01-2018,21,0,2988.040
12-01-2018,21,30,2882.870
12-01-2018,22,0,2752.620
12-01-2018,22,30,2544.740
12-01-2018,23,0,2404.630
12-01-2018,23,30,2187.940
13-01-2018,0,0,1982.420
13-01-2018,0,30,1834.260
13-01-2018,1,0,1732.740
13-01-2018,1,30,1657.420
13-01-2018,2,0,1608.100
13-01-2018,2,30,1565.600
13-01-2018,3,0,1539.510
13-01-2018,3,30,1543.150
13-01-2018,4,0,1553.400
13-01-2018,4,30,1610.970
13-01-2018,5,0,1682.240
13-01-2018,5,30,1882.860
13-01-2018,6,0,2134.530
13-01-2018,6,30,2453.720
13-01-2018,7,0,2756.700
13-01-2018,7,30,3147.560
13-01-2018,8,0,3465.190
13-01-2018,8,30,3636.850
13-01-2018,9,0,3693.820
13-01-2018,9,30,3824.440
13-01-2018,10,0,3926.120
13-01-2018,10,30,3891.840
13-01-2018,11,0,3826.380
13-01-2018,11,30,3629.220
13-01-2018,12,0,3429.890
13-01-2018,12,30,3323.510
13-01-2018,13,0,3114.480
13-01-2018,13,30,2864.450
13-01-2018,14,0,2831.170
13-01-2018,14,30,2844.470
13-01-2018,15,0,2756.170
13-01-2018,15,30,2702.450
13-01-2018,16,0,2671.130
13-01-2018,16,30,2689.060
13-01-2018,17,0,2734.040
13-01-2018,17,30,2860.810
13-01-2018,18,0,3038.370
13-01-2018,18,30,3173.170
13-01-2018,19,0,3155.600
13-01-2018,19,30,3054.270
13-01-2018,20,0,2996.320
13-01-2018,20,30,2850.860
13-01-2018,21,0,2653.110
13-01-2018,21,30,2558.650
13-01-2018,22,0,2439.510
13-01-2018,22,30,2302.180
13-01-2018,23,0,2147.170
13-01-2018,23,30,2000.780
14-01-2018,0,0,1808.530
14-01-2018,0,30,1685.840
14-01-2018,1,0,1586.720
14-01-2018,1,30,1517.790
14-01-2018,2,0,1460.080
14-01-2018,2,30,1421.470
14-01-2018,3,0,1391.350
14-01-2018,3,30,1386.170
14-01-2018,4,0,1403.280
14-01-2018,4,30,1459.550
14-01-2018,5,0,1529.250
14-01-2018,5,30,1693.810
14-01-2018,6,0,1907.340
14-01-2018,6,30,2203.650
14-01-2018,7,0,2488.600
14-01-2018,7,30,2871.700
14-01-2018,8,0,3239.420
14-01-2018,8,30,3449.550
14-01-2018,9,0,3526.650
14-01-2018,9,30,3835.760
14-01-2018,10,0,3931.960
14-01-2018,10,30,3942.310
14-01-2018,11,0,3861.130
14-01-2018,11,30,3726.410
14-01-2018,12,0,3619.440
14-01-2018,12,30,3417.440
14-01-2018,13,0,3178.130
14-01-2018,13,30,2872.810
14-01-2018,14,0,2812.890
14-01-2018,14,30,2741.650
14-01-2018,15,0,2687.580
14-01-2018,15,30,2620.410
14-01-2018,16,0,2608.350
14-01-2018,16,30,2626.760
14-01-2018,17,0,2684.200
14-01-2018,17,30,2787.450
14-01-2018,18,0,2961.080
14-01-2018,18,30,3084.510
14-01-2018,19,0,3054.860
14-01-2018,19,30,3022.760
14-01-2018,20,0,2985.000
14-01-2018,20,30,2958.800
14-01-2018,21,0,2702.280
14-01-2018,21,30,2640.620
