Date,Hour,Load
03-02-2018,13,2982.62
03-02-2018,14,2717.93
03-02-2018,15,2712.24
03-02-2018,16,2639.22
03-02-2018,17,2654.17
03-02-2018,18,2888.45
03-02-2018,19,3104.00
03-02-2018,20,2932.51
03-02-2018,21,2658.57
03-02-2018,22,2437.61
03-02-2018,23,2114.39
04-02-2018,0,1792.49
04-02-2018,1,1566.79
04-02-2018,2,1473.62
04-02-2018,3,1404.36
04-02-2018,4,1426.53
04-02-2018,5,1533.70
04-02-2018,6,1888.06
04-02-2018,7,2415.77
04-02-2018,8,3097.59
04-02-2018,9,3346.73
04-02-2018,10,3681.84
04-02-2018,11,3660.35
04-02-2018,12,3488.36
04-02-2018,13,3161.98
04-02-2018,14,2826.29
04-02-2018,15,2662.78
04-02-2018,16,2547.99
04-02-2018,17,2533.13
04-02-2018,18,2753.85
04-02-2018,19,2980.61
04-02-2018,20,2874.59
04-02-2018,21,2615.86
04-02-2018,22,2398.57
04-02-2018,23,2039.54
05-02-2018,0,1751.08
05-02-2018,1,1549.88
05-02-2018,2,1438.91
05-02-2018,3,1395.66
05-02-2018,4,1410.11
05-02-2018,5,1587.10
05-02-2018,6,2333.24
05-02-2018,7,3180.95
05-02-2018,8,3425.62
05-02-2018,9,3472.31
05-02-2018,10,3718.34
05-02-2018,11,3595.72
05-02-2018,12,3418.13
05-02-2018,13,3152.18
05-02-2018,14,2993.00
05-02-2018,15,3025.92
05-02-2018,16,2919.01
05-02-2018,17,2894.23
05-02-2018,18,3122.97
05-02-2018,19,3241.62
05-02-2018,20,3048.34
05-02-2018,21,2746.81
05-02-2018,22,2554.67
05-02-2018,23,2189.85
06-02-2018,0,1838.44
06-02-2018,1,1637.46
06-02-2018,2,1532.13
06-02-2018,3,1470.92
06-02-2018,4,1476.65
06-02-2018,5,1650.68
06-02-2018,6,2345.81
06-02-2018,7,3204.42
06-02-2018,8,3446.14
06-02-2018,9,3495.79
06-02-2018,10,3741.67
06-02-2018,11,3584.66
06-02-2018,12,3424.51
06-02-2018,13,3150.36
06-02-2018,14,2923.69
06-02-2018,15,2898.86
06-02-2018,16,2886.76
06-02-2018,17,2881.04
06-02-2018,18,3145.24
06-02-2018,19,3172.21
06-02-2018,20,3036.56
06-02-2018,21,2798.95
06-02-2018,22,2495.95
06-02-2018,23,2149.48
07-02-2018,0,1821.46
07-02-2018,1,1635.95
07-02-2018,2,1537.76
07-02-2018,3,1497.91
07-02-2018,4,1503.89
07-02-2018,5,1668.98
07-02-2018,6,2339.73
07-02-2018,7,3104.24
07-02-2018,8,3590.06
07-02-2018,9,3602.03
07-02-2018,10,3792.64
07-02-2018,11,3725.08
07-02-2018,12,3529.41
07-02-2018,13,3203.03
07-02-2018,14,2995.01
07-02-2018,15,2977.37
07-02-2018,16,2895.98
07-02-2018,17,2940.21
07-02-2018,18,3147.33
07-02-2018,19,3279.89
07-02-2018,20,3159.19
07-02-2018,21,2873.69
07-02-2018,22,2611.76
07-02-2018,23,2297.30
08-02-2018,0,1970.97
08-02-2018,1,1770.73
08-02-2018,2,1669.29
08-02-2018,3,1615.20
08-02-2018,4,1627.07
08-02-2018,5,1787.55
08-02-2018,6,2443.67
08-02-2018,7,3219.96
08-02-2018,8,3495.71
08-02-2018,9,3498.90
08-02-2018,10,3706.79
08-02-2018,11,3580.66
08-02-2018,12,3438.89
08-02-2018,13,3125.83
08-02-2018,14,2938.43
08-02-2018,15,2989.69
08-02-2018,16,2882.36
08-02-2018,17,2943.70
08-02-2018,18,3108.77
08-02-2018,19,3381.21
08-02-2018,20,3187.95
08-02-2018,21,2838.58
08-02-2018,22,2594.86
08-02-2018,23,2256.55
09-02-2018,0,1866.25
09-02-2018,1,1657.77
09-02-2018,2,1562.88
09-02-2018,3,1510.20
09-02-2018,4,1514.64
09-02-2018,5,1698.58
09-02-2018,6,2418.76
09-02-2018,7,3315.45
09-02-2018,8,3647.80
09-02-2018,9,3719.64
09-02-2018,10,3882.89
09-02-2018,11,3821.12
09-02-2018,12,3605.79
09-02-2018,13,3321.01
09-02-2018,14,3031.74
09-02-2018,15,2990.86
09-02-2018,16,2916.29
09-02-2018,17,2914.58
09-02-2018,18,3153.18
09-02-2018,19,3298.20
09-02-2018,20,3175.31
09-02-2018,21,2856.47
09-02-2018,22,2599.93
09-02-2018,23,2238.83
10-02-2018,0,1886.84
10-02-2018,1,1674.99
10-02-2018,2,1558.46
10-02-2018,3,1501.46
10-02-2018,4,1506.75
10-02-2018,5,1646.62
10-02-2018,6,2145.37
10-02-2018,7,2749.96
10-02-2018,8,3349.26
10-02-2018,9,3478.67
10-02-2018,10,3704.75
10-02-2018,11,3601.62
10-02-2018,12,3424.83
10-02-2018,13,3052.19
10-02-2018,14,2818.40
10-02-2018,15,2768.76
10-02-2018,16,2683.47
10-02-2018,17,2722.93
10-02-2018,18,2978.31
10-02-2018,19,3166.76
10-02-2018,20,3014.07
10-02-2018,21,2727.17
10-02-2018,22,2458.22
10-02-2018,23,2146.48
11-02-2018,0,1815.73
11-02-2018,1,1598.91
11-02-2018,2,1477.89
11-02-2018,3,1426.60
11-02-2018,4,1431.04
11-02-2018,5,1548.22
11-02-2018,6,1912.54
11-02-2018,7,2411.37
11-02-2018,8,3030.91
11-02-2018,9,3352.54
11-02-2018,10,3671.71
11-02-2018,11,3642.69
11-02-2018,12,3550.50
11-02-2018,13,2768.78
