Date,Hour,Min,Load
10-01-2018,7,30,3525.93
10-01-2018,8,0,3816.41
10-01-2018,8,30,3953.99
10-01-2018,9,0,3958.62
10-01-2018,9,30,4123.17
10-01-2018,10,0,4214.11
10-01-2018,10,30,4156.98
10-01-2018,11,0,4099.03
10-01-2018,11,30,3957.17
10-01-2018,12,0,3871.60
10-01-2018,12,30,3689.61
10-01-2018,13,0,3448.68
10-01-2018,13,30,3148.29
10-01-2018,14,0,3214.62
10-01-2018,14,30,3172.43
10-01-2018,15,0,3134.25
10-01-2018,15,30,3052.03
10-01-2018,16,0,3045.61
10-01-2018,16,30,3081.65
10-01-2018,17,0,3122.45
10-01-2018,17,30,3264.90
10-01-2018,18,0,3431.22
10-01-2018,18,30,3557.01
10-01-2018,19,0,3468.49
10-01-2018,19,30,3453.98
10-01-2018,20,0,3325.36
10-01-2018,20,30,3228.62
10-01-2018,21,0,3043.45
10-01-2018,21,30,2953.80
10-01-2018,22,0,2809.12
10-01-2018,22,30,2606.28
10-01-2018,23,0,2368.59
10-01-2018,23,30,2193.82
11-01-2018,0,0,1976.43
11-01-2018,0,30,1822.96
11-01-2018,1,0,1728.27
11-01-2018,1,30,1651.40
11-01-2018,2,0,1603.94
11-01-2018,2,30,1563.10
11-01-2018,3,0,1539.64
11-01-2018,3,30,1534.36
11-01-2018,4,0,1541.57
11-01-2018,4,30,1603.93
11-01-2018,5,0,1705.42
11-01-2018,5,30,1943.00
11-01-2018,6,0,2297.40
11-01-2018,6,30,2793.60
11-01-2018,7,0,3158.18
11-01-2018,7,30,3499.07
11-01-2018,8,0,3717.51
11-01-2018,8,30,3838.88
11-01-2018,9,0,3862.87
11-01-2018,9,30,4021.51
11-01-2018,10,0,4116.97
11-01-2018,10,30,4062.27
11-01-2018,11,0,3937.21
11-01-2018,11,30,3848.55
11-01-2018,12,0,3755.93
11-01-2018,12,30,3584.87
11-01-2018,13,0,3361.15
11-01-2018,13,30,3052.30
11-01-2018,14,0,3115.20
11-01-2018,14,30,3099.80
11-01-2018,15,0,3116.25
11-01-2018,15,30,3061.74
11-01-2018,16,0,3055.17
11-01-2018,16,30,3049.30
11-01-2018,17,0,3074.76
11-01-2018,17,30,3203.67
11-01-2018,18,0,3429.59
11-01-2018,18,30,3529.18
11-01-2018,19,0,3501.41
11-01-2018,19,30,3483.39
11-01-2018,20,0,3307.90
11-01-2018,20,30,3209.78
11-01-2018,21,0,3046.08
11-01-2018,21,30,2886.89
11-01-2018,22,0,2768.56
11-01-2018,22,30,2567.47
11-01-2018,23,0,2389.20
11-01-2018,23,30,2157.33
12-01-2018,0,0,1970.83
12-01-2018,0,30,1836.69
12-01-2018,1,0,1731.85
12-01-2018,1,30,1661.62
12-01-2018,2,0,1603.93
12-01-2018,2,30,1567.53
12-01-2018,3,0,1541.00
12-01-2018,3,30,1531.76
12-01-2018,4,0,1557.57
12-01-2018,4,30,1613.38
12-01-2018,5,0,1737.39
12-01-2018,5,30,1981.62
12-01-2018,6,0,2344.45
12-01-2018,6,30,2819.07
12-01-2018,7,0,3220.60
12-01-2018,7,30,3555.28
12-01-2018,8,0,3880.35
12-01-2018,8,30,3945.63
12-01-2018,9,0,3945.41
12-01-2018,9,30,4138.99
12-01-2018,10,0,4201.77
12-01-2018,10,30,4223.87
12-01-2018,11,0,4116.28
12-01-2018,11,30,4036.75
12-01-2018,12,0,3893.20
12-01-2018,12,30,3766.38
12-01-2018,13,0,3515.54
12-01-2018,13,30,3175.29
12-01-2018,14,0,3188.99
12-01-2018,14,30,3167.68
12-01-2018,15,0,3096.92
12-01-2018,15,30,3103.89
12-01-2018,16,0,3046.53
12-01-2018,16,30,3098.40
12-01-2018,17,0,3135.17
12-01-2018,17,30,3209.61
12-01-2018,18,0,3411.91
12-01-2018,18,30,3484.81
12-01-2018,19,0,3467.25
12-01-2018,19,30,3403.05
12-01-2018,20,0,3307.13
12-01-2018,20,30,3157.16
12-01-2018,21,0,2988.04
12-01-2018,21,30,2882.87
12-01-2018,22,0,2752.62
12-01-2018,22,30,2544.74
12-01-2018,23,0,2404.63
12-01-2018,23,30,2187.94
13-01-2018,0,0,1982.42
13-01-2018,0,30,1834.26
13-01-2018,1,0,1732.74
13-01-2018,1,30,1657.42
13-01-2018,2,0,1608.10
13-01-2018,2,30,1565.60
13-01-2018,3,0,1539.51
13-01-2018,3,30,1543.15
13-01-2018,4,0,1553.40
13-01-2018,4,30,1610.97
13-01-2018,5,0,1682.24
13-01-2018,5,30,1882.86
13-01-2018,6,0,2134.53
13-01-2018,6,30,2453.72
13-01-2018,7,0,2756.70
13-01-2018,7,30,3147.56
13-01-2018,8,0,3465.19
13-01-2018,8,30,3636.85
13-01-2018,9,0,3693.82
13-01-2018,9,30,3824.44
13-01-2018,10,0,3926.12
13-01-2018,10,30,3891.84
13-01-2018,11,0,3826.38
13-01-2018,11,30,3629.22
13-01-2018,12,0,3429.89
13-01-2018,12,30,3323.51
13-01-2018,13,0,3114.48
13-01-2018,13,30,2864.45
13-01-2018,14,0,2831.17
13-01-2018,14,30,2844.47
13-01-2018,15,0,2756.17
13-01-2018,15,30,2702.45
13-01-2018,16,0,2671.13
13-01-2018,16,30,2689.06
13-01-2018,17,0,2734.04
13-01-2018,17,30,2860.81
13-01-2018,18,0,3038.37
13-01-2018,18,30,3173.17
13-01-2018,19,0,3155.60
13-01-2018,19,30,3054.27
13-01-2018,20,0,2996.32
13-01-2018,20,30,2850.86
13-01-2018,21,0,2653.11
13-01-2018,21,30,2558.65
13-01-2018,22,0,2439.51
13-01-2018,22,30,2302.18
13-01-2018,23,0,2147.17
13-01-2018,23,30,2000.78
14-01-2018,0,0,1808.53
14-01-2018,0,30,1685.84
14-01-2018,1,0,1586.72
14-01-2018,1,30,1517.79
14-01-2018,2,0,1460.08
14-01-2018,2,30,1421.47
14-01-2018,3,0,1391.35
14-01-2018,3,30,1386.17
14-01-2018,4,0,1403.28
